["port 1","LEFT"]
["port 2","LEFT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(20, 3)
("port 1","mode 1",1,"port 4",1,"transmission")
(20, 3)
1.9217465256410256e+14 2.7112303281290606e-01 1.6067917283709072e+00
1.9230600912771438e+14 2.6906985042884307e-01 2.0659291020888784e+00
1.9243736569132622e+14 2.6702756104425840e-01 2.5259377436002528e+00
1.9256872225493803e+14 2.6499551391229947e-01 2.9868215635881588e+00
1.9270007881854988e+14 2.6297236131568452e-01 3.4485812224273631e+00
1.9283143538216169e+14 2.6095684570640848e-01 3.9112133662958417e+00
1.9296279194577353e+14 2.5894844712283732e-01 4.3747120303352807e+00
1.9309414850938534e+14 2.5694755392806068e-01 4.8390712599474233e+00
1.9322550507299719e+14 2.5495511311255525e-01 5.3042873840981981e+00
1.9335686163660900e+14 2.5297201399037933e-01 5.7703596897792524e+00
1.9348821820022084e+14 2.5099858818193849e-01 6.2372892682386833e+00
1.9361957476383266e+14 2.4903450451022974e-01 6.7050768940179442e+00
1.9375093132744450e+14 2.4707907698724774e-01 7.1737213038124983e+00
1.9388228789105631e+14 2.4513175361370071e-01 7.6432188885412033e+00
1.9401364445466816e+14 2.4319246444770709e-01 8.1135648576863524e+00
1.9414500101827997e+14 2.4126162441935184e-01 8.5847550002208344e+00
1.9427635758189181e+14 2.3933982482338473e-01 9.0567868404738334e+00
1.9440771414550362e+14 2.3742744952785572e-01 9.5296594584153347e+00
1.9453907070911547e+14 2.3552448861709635e-01 1.0003372184872921e+01
1.9467042727272728e+14 2.3363067458452907e-01 1.0477923164271676e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.9217465256410256e+14 1.8423735308872322e-03 2.8396669335256869e-01
1.9230600912771438e+14 1.8460393950887621e-03 8.2518451820163397e-01
1.9243736569132622e+14 1.8478630668861942e-03 1.3692573378472555e+00
1.9256872225493803e+14 1.8480648677520197e-03 1.9161626361754998e+00
1.9270007881854988e+14 1.8469135495363278e-03 2.4658587718710043e+00
1.9283143538216169e+14 1.8447138034192697e-03 3.0182807347299829e+00
1.9296279194577353e+14 1.8417915480656497e-03 3.5733367588381744e+00
1.9309414850938534e+14 1.8384779664504830e-03 4.1309062678592730e+00
1.9322550507299719e+14 1.8350934430663168e-03 4.6908395123745841e+00
1.9335686163660900e+14 1.8319325654951527e-03 5.2529590824329286e+00
1.9348821820022084e+14 1.8292511930888074e-03 5.8170632627607723e+00
1.9361957476383266e+14 1.8272562950041689e-03 6.3829309812570889e+00
1.9375093132744450e+14 1.8260988858715824e-03 6.9503279275450991e+00
1.9388228789105631e+14 1.8258700219794420e-03 7.5190133238021266e+00
1.9401364445466816e+14 1.8265995410559296e-03 8.0887468305267642e+00
