nm	n	k				
530	2.012201	8.55E-4				
531	2.011976	8.51E-4				
532	2.011754	8.47E-4				
533	2.011532	8.43E-4				
534	2.011312	8.39E-4				
535	2.011093	8.35E-4				
536	2.010875	8.31E-4				
537	2.010659	8.27E-4				
538	2.010444	8.24E-4				
539	2.01023	8.2E-4				
540	2.010017	8.16E-4				
541	2.009806	8.12E-4				
542	2.009596	8.08E-4				
543	2.009387	8.05E-4				
544	2.00918	8.01E-4				
545	2.008974	7.98E-4				
546	2.008769	7.94E-4				
547	2.008565	7.9E-4				
548	2.008362	7.87E-4				
549	2.00816	7.83E-4				
550	2.00796	7.8E-4				
551	2.007761	7.76E-4				
552	2.007563	7.73E-4				
553	2.007366	7.7E-4				
554	2.00717	7.66E-4				
555	2.006976	7.63E-4				
556	2.006782	7.6E-4				
557	2.00659	7.56E-4				
558	2.006399	7.53E-4				
559	2.006208	7.5E-4				
560	2.006019	7.47E-4				
561	2.005831	7.44E-4				
562	2.005644	7.41E-4				
563	2.005458	7.38E-4				
564	2.005274	7.34E-4				
565	2.00509	7.31E-4				
566	2.004907	7.28E-4				
567	2.004725	7.25E-4				
568	2.004544	7.22E-4				
569	2.004365	7.19E-4				
570	2.004186	7.17E-4				
571	2.004008	7.14E-4				
572	2.003832	7.11E-4				
573	2.003656	7.08E-4				
574	2.003481	7.05E-4				
575	2.003307	7.02E-4				
576	2.003134	7E-4				
577	2.002962	6.97E-4				
578	2.002791	6.94E-4				
579	2.002621	6.91E-4				
580	2.002452	6.89E-4				
581	2.002284	6.86E-4				
582	2.002117	6.83E-4				
583	2.00195	6.81E-4				
584	2.001785	6.78E-4				
585	2.00162	6.75E-4				
586	2.001456	6.73E-4				
587	2.001294	6.7E-4				
588	2.001132	6.68E-4				
589	2.000971	6.65E-4				
590	2.000811	6.63E-4				
591	2.000651	6.6E-4				
592	2.000493	6.58E-4				
593	2.000335	6.56E-4				
594	2.000178	6.53E-4				
595	2.000022	6.51E-4				
596	1.999867	6.48E-4				
597	1.999713	6.46E-4				
598	1.999559	6.44E-4				
599	1.999406	6.41E-4				
600	1.999254	6.39E-4				
601	1.999103	6.37E-4				
602	1.998953	6.35E-4				
603	1.998803	6.32E-4				
604	1.998654	6.3E-4				
605	1.998506	6.28E-4				
606	1.998359	6.26E-4				
607	1.998213	6.23E-4				
608	1.998067	6.21E-4				
609	1.997922	6.19E-4				
610	1.997778	6.17E-4				
611	1.997634	6.15E-4				
612	1.997491	6.13E-4				
613	1.997349	6.11E-4				
614	1.997208	6.09E-4				
615	1.997067	6.07E-4				
616	1.996927	6.05E-4				
617	1.996788	6.03E-4				
618	1.99665	6E-4				
619	1.996512	5.99E-4				
620	1.996375	5.97E-4				
621	1.996238	5.95E-4				
622	1.996103	5.93E-4				
623	1.995968	5.91E-4				
624	1.995833	5.89E-4				
625	1.9957	5.87E-4				
626	1.995567	5.85E-4				
627	1.995434	5.83E-4				
628	1.995303	5.81E-4				
629	1.995171	5.79E-4				
630	1.995041	5.77E-4				
631	1.994911	5.76E-4				
632	1.994782	5.74E-4				
633	1.994654	5.72E-4				
634	1.994526	5.7E-4				
635	1.994398	5.68E-4				
636	1.994272	5.67E-4				
637	1.994146	5.65E-4				
638	1.99402	5.63E-4				
639	1.993896	5.61E-4				
640	1.993771	5.6E-4				
641	1.993648	5.58E-4				
642	1.993525	5.56E-4				
643	1.993402	5.55E-4				
644	1.993281	5.53E-4				
645	1.993159	5.51E-4				
646	1.993039	5.5E-4				
647	1.992919	5.48E-4				
648	1.992799	5.46E-4				
649	1.99268	5.45E-4				
650	1.992562	5.43E-4				
651	1.992444	5.42E-4				
652	1.992327	5.4E-4				
653	1.99221	5.38E-4				
654	1.992094	5.37E-4				
655	1.991978	5.35E-4				
656	1.991863	5.34E-4				
657	1.991749	5.32E-4				
658	1.991635	5.31E-4				
659	1.991521	5.29E-4				
660	1.991408	5.28E-4				
661	1.991296	5.26E-4				
662	1.991184	5.25E-4				
663	1.991073	5.23E-4				
664	1.990962	5.22E-4				
665	1.990852	5.2E-4				
666	1.990742	5.19E-4				
667	1.990633	5.18E-4				
668	1.990524	5.16E-4				
669	1.990415	5.15E-4				
670	1.990308	5.13E-4				
671	1.9902	5.12E-4				
672	1.990093	5.11E-4				
673	1.989987	5.09E-4				
674	1.989881	5.08E-4				
675	1.989776	5.06E-4				
676	1.989671	5.05E-4				
677	1.989566	5.04E-4				
678	1.989462	5.02E-4				
679	1.989359	5.01E-4				
680	1.989256	5E-4				
681	1.989153	4.98E-4				
682	1.989051	4.97E-4				
683	1.98895	4.96E-4				
684	1.988848	4.95E-4				
685	1.988748	4.93E-4				
686	1.988647	4.92E-4				
687	1.988548	4.91E-4				
688	1.988448	4.9E-4				
689	1.988349	4.88E-4				
690	1.988251	4.87E-4				
691	1.988153	4.86E-4				
692	1.988055	4.85E-4				
693	1.987958	4.83E-4				
694	1.987861	4.82E-4				
695	1.987764	4.81E-4				
696	1.987668	4.8E-4				
697	1.987573	4.79E-4				
698	1.987478	4.77E-4				
699	1.987383	4.76E-4				
700	1.987289	4.75E-4				
701	1.987195	4.74E-4				
702	1.987101	4.73E-4				
703	1.987008	4.72E-4				
704	1.986915	4.71E-4				
705	1.986823	4.69E-4				
706	1.986731	4.68E-4				
707	1.98664	4.67E-4				
708	1.986549	4.66E-4				
709	1.986458	4.65E-4				
710	1.986368	4.64E-4				
711	1.986278	4.63E-4				
712	1.986188	4.62E-4				
713	1.986099	4.61E-4				
714	1.98601	4.6E-4				
715	1.985922	4.59E-4				
716	1.985833	4.57E-4				
717	1.985746	4.56E-4				
718	1.985658	4.55E-4				
719	1.985571	4.54E-4				
